Ascent Type,Route Grade,Ascent Grade,Route Height,Route Stars,Country,Crag Name,Crag Path,Quality,Ascent_day,Ascent_month,Ascent_year,cons_grade
Flash,6a+,6a+,10,2,France,Vosges du Nord,Vosges du Nord - Windstein - Capitaine Crochet,Very Good,9,11,2022,30
Red point,7a,7a,25,2,France,Vosges du Nord,Vosges du Nord - Windstein - Face sud,Mega Classic,9,9,2022,40
Red point,6c,6c,15,3,Austria,Latschenturm,Latschenturm - Wegseite,Classic,17,8,2022,36
Flash,6a+,6a+,15,1,Austria,Latschenturm,Latschenturm - Flache Seite,Good,17,8,2022,30
Red point,6c,6c,20,2,Austria,Oberried,Oberried - Springtime,Classic,16,8,2022,36
Flash,6c,5c,30,2,Austria,Oberried,Oberried - Pinoccio,Classic,16,8,2022,36
Flash,5c,5c,20,2,Austria,Oberried,Oberried - Türkischer Honig,Mega Classic,16,8,2022,24
Flash,8-,8-,20,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Blechfass,Very Good,13,8,2022,38
Red point,7-,7-,15,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Diebesloch,Good,8,12,2022,30
Red point,8/8+,8,22,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Blechfass,Classic,8,11,2022,41
Red point,7,7,17,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Blechfass,Good,8,11,2022,32
Flash,6,6,18,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Blechfass,Very Good,8,11,2022,24
Flash,7+/8-,8-,17,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Wiesenttal - Burggaillenreuth - Heinrichsgrotte - Links,Very Good,8,9,2022,36
Flash,7-,7-,18,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Ailsbachtal - Heldwand,Very Good,8,7,2022,30
Red point,7-,7-,13,1,Germany,Taunus,Taunus - Burg Hohlenfels - Burgwand,Good,31,7,2022,30
Red point,9-,9-,18,2,Germany,Taunus,Taunus - Burg Hohlenfels - Burgwand,Very Good,31,7,2022,46
Red point,7-,7-,22,2,Germany,Taunus,Taunus - Burg Hohlenfels - Burgwand,Mega Classic,17,7,2022,30
Flash,5+,5+,20,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Wiesenttal - Burggaillenreuth - Schlossbergzwilling,Classic,18,6,2022,20
Red point,8,8,17,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Wiesenttal - Burggaillenreuth - Schlossbergwand,Very Good,18,6,2022,40
Red point,8+,8+,18,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Kalte Wand,Classic,17,6,2022,42
Red point,8-,8-,15,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Enigma,Good,17,6,2022,38
Flash,6,6,15,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Enigma,Classic,17,6,2022,24
Red point,8-/8,8-,10,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Weihersbachtal - Terra Australis,Very Good,16,6,2022,39
Red point,7-,7-,13,2,Germany,Hainstadt,Hainstadt,Classic,6,12,2022,30
Red point,8-,8-,16,2,Germany,Hainstadt,Hainstadt,Very Good,6,12,2022,38
Flash,6,6,25,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Trubachtal - Wichsenstein - Röthelfels - Main,Very Good,6,6,2022,24
Flash,6+,4+,35,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Trubachtal - Wichsenstein - Röthelfels - Main,Good,6,6,2022,28
Flash,7-,7-,13,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Wiesenttal - Burggaillenreuth - Schlosszwergwand,Very Good,6,5,2022,30
Red point,8-,8,10,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Wiesenttal - Burggaillenreuth - Schlosserei,Classic,6,5,2022,38
Red point,8-,8-,10,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Wiesenttal - Burggaillenreuth - Schlosserei,Very Good,6,5,2022,38
Flash,7-,7-,25,0,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Trubachtal - Wichsenstein - Röthelfels - Weiße Wand,Average,6,4,2022,30
Flash,7-,7-,25,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Trubachtal - Wichsenstein - Röthelfels - Weiße Wand,Classic,6,4,2022,30
Flash,8,8,22,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Trubachtal - Wichsenstein - Röthelfels - Weiße Wand,Very Good,6,4,2022,40
Red point,6b+,6b+,15,2,Switzerland,Fallenflue,Fallenflue - Silber,Classic,29,5,2022,34
Flash,5a+,5a+,20,2,Switzerland,Fallenflue,Fallenflue - Silber,Mega Classic,29,5,2022,21
Flash,6a,6a,20,2,Switzerland,Fallenflue,Fallenflue - Silber,Classic,29,5,2022,28
Flash,4b,5a,20,2,Switzerland,Chämiloch,Chämiloch - Hauptwand,Very Good,27,5,2022,16
Flash,6a,6a+,20,2,Switzerland,Chämiloch,Chämiloch - Hauptwand,Good,27,5,2022,28
Red point,7,7,20,2,Germany,Hainstadt,Hainstadt,Classic,5,7,2022,32
Red point,6+,6+,15,2,Germany,Hainstadt,Hainstadt,Very Good,5,7,2022,28
Red point,6+,6+,14,2,Germany,Hainstadt,Hainstadt,Classic,5,7,2022,28
Red point,6c,6c,25,2,Greece,Kalymnos,Kalymnos - Telendos - Irox,Very Good,16,4,2022,36
Red point,6b+,6b+,25,1,Greece,Kalymnos,Kalymnos - Telendos - Glaros,Very Good,16,4,2022,34
Flash,5c+,5c+,30,3,Greece,Kalymnos,Kalymnos - Emporios - Palace - Baby House,Classic,15,4,2022,26
Red point,7b,7b,16,2,Greece,Kalymnos,Kalymnos - Emporios - Palace - Palace Main,Very Good,15,4,2022,44
Flash,5c,5c,18,1,Greece,Kalymnos,Kalymnos - Emporios - Palace - Palace Main,Classic,15,4,2022,24
Flash,6b,6b,25,2,Greece,Kalymnos,Kalymnos - Emporios - Palace - Palace Main,Mega Classic,15,4,2022,32
Flash,6a+,6a+,12,0,Greece,Kalymnos,Kalymnos - Emporios - Palace - Baby House,Very Good,13,4,2022,30
Red point,7a,7a,20,2,Greece,Kalymnos,Kalymnos - Emporios - Palace - Baby House,Classic,13,4,2022,40
Flash,5c,5c,15,1,Greece,Kalymnos,Kalymnos - Arginonta - Noufaro - Upper Noufaro,Good,4,12,2022,24
Flash,6a,6a,20,2,Greece,Kalymnos,Kalymnos - Skalia - Ghost Kitchen - Atlantis,Classic,4,10,2022,28
Red point,7b+,7b+,15,3,Greece,Kalymnos,Kalymnos - Skalia - Ghost Kitchen - Utopia,Classic,4,10,2022,46
Flash,5b+,5b+,20,2,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Alani Wall,Very Good,4,8,2022,23
Flash,5c,5c,20,1,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Right Wall,Good,4,8,2022,24
Red point,7a+,7a+,18,2,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Diagoras Cave,Classic,4,8,2022,42
Red point,6c+,6c+,16,1,Greece,Kalymnos,Kalymnos - Arginonta - Arginonta Valley - Diagoras Cave,Very Good,4,8,2022,38
Red point,7a+,7a+,12,2,Greece,Kalymnos,Kalymnos - Armeos - Grande Grotta,Very Good,4,7,2022,42
Red point,7a,7a,20,3,Greece,Kalymnos,Kalymnos - Armeos - Grande Grotta,Very Good,4,7,2022,40
Flash,6a+,6a+,15,1,Greece,Kalymnos,Kalymnos - Armeos - Odyssey,Very Good,4,5,2022,30
Red point,7a+,7a+,18,2,Greece,Kalymnos,Kalymnos - Armeos - Odyssey,Very Good,4,4,2022,42
Flash,5c,5c,18,1,Greece,Kalymnos,Kalymnos - Armeos - Odyssey,Good,4,4,2022,24
Flash,6a+,6a+,28,1,Greece,Kalymnos,Kalymnos - Armeos - Odyssey,Good,4,4,2022,30
Flash,6b/b+,6b+,18,2,Greece,Kalymnos,Kalymnos - Palionisos - Heroes,Mega Classic,4,3,2022,33
Flash,6a+,6a+,16,0,Greece,Kalymnos,Kalymnos - Palionisos - Heroes,Good,4,3,2022,30
Flash,6b,6b,16,3,Greece,Kalymnos,Kalymnos - Palionisos - Heroes,Mega Classic,4,3,2022,32
Flash,6a,6a,18,0,Greece,Kalymnos,Kalymnos - Palionisos - Heroes,Good,4,3,2022,28
Red point,7+,7+,20,2,Germany,Hainstadt,Hainstadt,Good,31,10,2021,34
Red point,8-,8-,13,2,Germany,Hainstadt,Hainstadt,Classic,31,10,2021,38
Red point,7+,7+,20,3,Germany,Ziegelhausen,Ziegelhausen - Ziegelhausen II,Very Good,16,10,2021,34
Flash,7-,7-,20,3,Germany,Ziegelhausen,Ziegelhausen - Ziegelhausen II,Classic,16,10,2021,30
Red point,6b+,6b+,8,2,France,Vosges du Sud,Vosges du Sud - Gueberschwihr - Nouveau Gueberschwihr - Secteur Rudy + Départ Coton,Very Good,10,2,2021,34
Red point,6b+,6b+,14,1,France,Vosges du Sud,Vosges du Sud - Gueberschwihr - Nouveau Gueberschwihr - Secteur Rudy + Départ Coton,Very Good,10,2,2021,34
Flash,6b+,6b+,20,2,France,Vosges du Sud,Vosges du Sud - Gueberschwihr - Nouveau Gueberschwihr - La Carrière,Classic,10,2,2021,34
Red point,6a+,6a+,15,2,France,Vosges du Nord,Vosges du Nord - Windstein - Cryptospit,Very Good,28,9,2021,30
Flash,6b,6b,12,1,France,Vosges du Nord,Vosges du Nord - Landersberg - Landersberg nouveau,Very Good,25,9,2021,32
Red point,6b,6b,12,1,France,Vosges du Nord,Vosges du Nord - Landersberg - Landersberg nouveau,Very Good,25,9,2021,32
Flash,6a+,6a+,26,2,Luxembourg,Berdorf,Berdorf - Was Not Was,Very Good,19,9,2021,30
Red point,6c,6c+,22,3,Luxembourg,Berdorf,Berdorf - Infernale,Very Good,19,9,2021,36
Red point,7a+,7a,27,2,Luxembourg,Berdorf,Berdorf - Gentiane,Very Good,18,9,2021,42
Flash,5c+,5c+,25,3,Luxembourg,Berdorf,Berdorf - Gentiane,Mega Classic,18,9,2021,26
Flash,5c+,6a,25,2,Luxembourg,Berdorf,Berdorf - Gentiane,Very Good,18,9,2021,26
Red point,8-,8-,24,2,Germany,Hainstadt,Hainstadt,Classic,9,4,2021,38
Flash,6b+,6b+,10,2,Spain,Rodellar,Rodellar - Furia Latina,Very Good,25,8,2021,34
Flash,6a,6a,10,1,Spain,Rodellar,Rodellar - Rigole,Good,25,8,2021,28
Flash,6a,6a,10,2,Spain,Rodellar,Rodellar - Rigole,Very Good,25,8,2021,28
Flash,4c,4c,12,0,Spain,Rodellar,Rodellar - Rigole,Very Good,25,8,2021,18
Red point,7a+,7a+,17,3,Spain,Rodellar,Rodellar - Boulder Del Jon,Mega Classic,24,8,2021,42
Flash,6c,6c,12,2,Spain,Rodellar,Rodellar - Boulder Del Jon,Very Good,22,8,2021,36
Flash,6b,6b,10,1,Spain,Rodellar,Rodellar - Furia Latina,Very Good,21,8,2021,32
Flash,6b+,6b+,10,1,Spain,Rodellar,Rodellar - Furia Latina,Very Good,21,8,2021,34
Red point,6a+,6a+,17,1,Spain,Rodellar,Rodellar - La Fuente,Very Good,21,8,2021,30
Red point,6c+,6c+,23,3,Spain,Rodellar,Rodellar - Bisagra,Classic,19,8,2021,38
Flash,6a,6a,20,1,Spain,Rodellar,Rodellar - Bikini,Very Good,17,8,2021,28
Red point,7-,6+,21,2,Germany,Annweiler Gebiet,Annweiler Gebiet - Münzfels,Very Good,7,3,2021,30
Red point,7+,7+,15,2,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Lichtenfelser Dach,Very Good,27,6,2021,34
Flash,6,6,15,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Ziegenfelder Wände,Classic,27,6,2021,24
Flash,7-,7-,15,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Ziegenfelder Wände,Very Good,27,6,2021,30
Flash,7,7,15,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Diebesloch,Very Good,26,6,2021,32
Flash,7-,7-,15,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Diebesloch,Good,26,6,2021,30
Red point,8+/9-,8+,15,2,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Diebesloch,Very Good,26,6,2021,44
Red point,8,8,18,2,Germany,Bessenbach,Bessenbach - Dschungelbuch,Very Good,6,12,2021,40
Red point,6,6,20,2,Germany,Bessenbach,Bessenbach - Schutthalde,Very Good,6,12,2021,24
Flash,7,7,10,1,Germany,Frankenjura Nord,"Frankenjura Nord - Fränkische Schweiz - Graisch, Leienfels, Bärnfels - Soranger Wand",Very Good,6,4,2021,32
Red point,8-,8-,12,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Obertrubach - Grüne Hölle - Main,Classic,6,4,2021,38
Flash,7,7,10,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Obertrubach - Grüne Hölle - Main,Very Good,6,4,2021,32
Flash,7,7,13,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Obertrubach - Grüne Hölle - Upper part,Very Good,6,4,2021,32
Flash,6+,6+,15,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Pottenstein - Marientaler Wand - Upper Sector,Average,6,3,2021,28
Red point,8,8,10,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Pottenstein - Marientaler Wand - Upper Sector,Good,6,3,2021,40
Flash,7-,7-,10,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Pottenstein - Marientaler Wand - Upper Sector,Good,6,3,2021,30
Flash,7a,7a,15,3,Luxembourg,Berdorf,Berdorf - Takla Makan,Classic,30,5,2021,40
Red point,6c+,6c+,22,2,Luxembourg,Berdorf,Berdorf - Bleausarde,Very Good,30,5,2021,38
Flash,6b,6b,18,2,Luxembourg,Berdorf,Berdorf - Remoise,Very Good,30,5,2021,32
Flash,5b+,5b+,18,2,Luxembourg,Berdorf,Berdorf - Lionel Terray,Very Good,30,5,2021,23
Red point,7a,7a,24,2,Luxembourg,Berdorf,Berdorf - Bleausarde,Very Good,29,5,2021,40
Flash,4c,4b,30,2,Luxembourg,Berdorf,Berdorf - Gentiane,Very Good,29,5,2021,18
Flash,6b+,6b+,27,2,Luxembourg,Berdorf,Berdorf - Isatis,Very Good,29,5,2021,34
Flash,7-,7-,10,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Püttlachtal - Amerikanische Botschaft,Very Good,24,5,2021,30
Red point,8-,8-,10,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Püttlachtal - Amerikanische Botschaft,Very Good,24,5,2021,38
Red point,8-,8-,20,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Unteres Püttlachtal - Amerikanische Botschaft,Very Good,24,5,2021,38
Flash,7,7,10,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Geierwand,Very Good,23,5,2021,32
Flash,7,7,10,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Geierwand,Good,23,5,2021,32
Flash,8-,8-,10,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Geierwand,Very Good,23,5,2021,38
Flash,7+,7+,15,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Bauernschmitt Gedenkwand,Good,22,5,2021,34
Flash,7-,7-,20,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Toni Schmid Gedenkwand,Good,22,5,2021,30
Flash,6,6,10,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Ailsbachtal - Rabenstein,Good,15,5,2021,24
Red point,8-,8-,11,2,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Geierwand,Classic,14,5,2021,38
Red point,8/8+,8+,12,2,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Geierwand,Very Good,14,5,2021,41
Red point,8,8,10,2,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Geierwand,Very Good,14,5,2021,40
Flash,7,7,11,1,Germany,Frankenjura Nord,Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Geierwand,Very Good,14,5,2021,32
Red point,7a,7a,27,2,Luxembourg,Berdorf,Berdorf - Nikita,Very Good,5,2,2021,40
Flash,6b+,6a,16,1,Luxembourg,Berdorf,Berdorf - Tempête,Good,5,2,2021,34
Flash,5c,5c,16,2,Luxembourg,Berdorf,Berdorf - Takla Makan,Very Good,5,2,2021,24
Flash,6b+,6b+,15,2,Luxembourg,Berdorf,Berdorf - Takla Makan,Good,5,1,2021,34
Flash,6c+,6c+,21,2,Luxembourg,Berdorf,Berdorf - Remoise,Very Good,26,4,2021,38
Red point,6b,6b,27,3,Luxembourg,Berdorf,Berdorf - Gentiane,Classic,25,4,2021,32
Flash,6b+,6b+,27,3,Luxembourg,Berdorf,Berdorf - Isatis,Very Good,24,4,2021,34
Flash,6a+,6a,26,3,Luxembourg,Berdorf,Berdorf - Minimops,Very Good,24,4,2021,30
Flash,6a,6a,26,2,Luxembourg,Berdorf,Berdorf - Free Reality,Very Good,4,2,2021,28
Red point,6c,6c,25,2,Luxembourg,Berdorf,Berdorf - Free Reality,Very Good,4,2,2021,36
Flash,5c,5c,18,2,Luxembourg,Berdorf,Berdorf - Lionel Terray,Classic,4,1,2021,24
Flash,5c+,5b,20,1,Luxembourg,Berdorf,Berdorf - Lionel Terray,Very Good,4,1,2021,26
Red point,6b+,6b+,21,2,Luxembourg,Berdorf,Berdorf - Remoise,Very Good,4,1,2021,34
Flash,7a,7a,21,3,Luxembourg,Berdorf,Berdorf - Remoise,Very Good,4,1,2021,40
Red point,8,8,14,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Oberes Wiesenttal - Treunitzer Klettergarten,Very Good,30,3,2021,40
Flash,6,6,13,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Oberes Wiesenttal - Treunitzer Klettergarten,Very Good,30,3,2021,24
Flash,6-,6-,13,2,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Oberes Wiesenttal - Treunitzer Klettergarten,Good,30,3,2021,22
Flash,7,7,12,1,Germany,Frankenjura Nord,Frankenjura Nord - Fränkische Schweiz - Oberes Wiesenttal - Treunitzer Klettergarten,Very Good,30,3,2021,32
